tweets,label
"आज शेयर बाज़ार की हुई सुस्त शुरुआत, जानिए कहां मिलेगा कमाई का मौका
#StockMarket #Business 
https://t.co/8idqSVi0T7",non-hostile
"राहत इंदौरी ने बोला #हिंदुस्तान किसी के बाप का थोड़ी है, तो खुश हो गए

#कंगना ने बोला #मुम्बई किसी के बाप की नहीं, तो पिछवाड़े में जलन होने लगी #कुत्तों

#KanganaVsSena https://t.co/oyU3smabei",hate
@SushantBSinha ये सांसद नही टपोरी है साला,offensive
@SonuNigamINT ये साले दोगलो अनुराग  कसयप रेस्ट करना चाहिए असरफ भट्ट को,offensive
"RT @_Pb_swain_: होंगे तेरी आइडी में हजारों आशिको की झुण्ड 
मेरी आइडी में तो भगवा धारी शेर 🐅 दहाड़ते हैं हमें नशा है भगवा रंग का.🚩

🙏 जय जय…",offensive
"अगर मोदी जी वादे के सच्चे होते ,
तो आज
जशोदाबेन के भी बच्चे होते ।",offensive
"जिस तरीके से इंडियन आर्मी आगे बढ़ रही है 

वो देखकर लगता है की BJP और दस साल रही तो चीन का कद नेपाल के बराबर हो जाएगा.....😂😂",defamation
"छिनरा नेहरू कह गए इंदिरा से ऐसा पोता आएगा,
😂😂
रैली करेगा कांग्रेस का लेकिन भाजपा को जीताएगा.",hate
"प्रणब दा को आखिरी विदाई LIVE: राष्ट्रपति कोविंद, पीएम मोदी और लोकसभा स्पीकर बिड़ला ने पूर्व राष्ट्रपति को घर जाकर श्रद्धांजलि दी, कोरोना प्रोटोकॉल के साथ होगा अंतिम संस्कार
https://t.co/QJNqbttyPl #PranabMukherjee @narendramodi @rashtrapatibhvn #RamNathKovind @ombirlakota https://t.co/Z03ecfxrNh",non-hostile
"किसी के बाप का थोड़ी है मुंबई. मुंबई है शिवाजी महाराज का और हम हैं उनके वंशज... 
 राज्यसभा का कार्यकाल घर से चलाना पड़ जाएगा,  #दिल्ली बहुत दूर है घुसने से पहले पूछना पड़ेगा करणी सेना से, कोई गलतफहमी में मत रहना, करणी सेना जो कहती है वह करती है..",offensive
"@shehzadi__zoya कमीनी होति है

लडकिया",hate
"RT @ReshmaHindusta1: कंगना का ऑफिस BMC वालो ने उखाड़ा तो सभी न्यूज़ चैनल पर बहस चल रही है,""

जब जामिया मिल्लिया इस्लामिया की लाइब्रेरी तो…",offensive
"@_Pb_swain_ TBL TMC TMB BKL काली कुतिया की पैदाइश पंगा लेना है तो आ ना मैदान में हरामखोर भडवागिरी करने वाले दल्ला BNL. जिस 2""  की मोरी में से निकला भडवा वहीं वापस भेज दूंगा।",hate
"पुलवामा मे आंतकवादी हमले के CCTV वीडियो… ये वीडियो सामने आया है |
पुलवामा हमले का सीसीटीवी फ़ुटेज सामने आया


",fake
"-23.9% जीडीपी होने के साथ ही हिन्दू खतरे से बाहर 
मोदी जी ने कमाल कर दिया बधाई हो सभी कट्टर हिन्दू को",defamation
"आप सांड सांड करते रहिए उधर,वो बेमानी कर के चुनाव जीत जाएंगे।*BJP विधायक अनिल* *उपाध्याय की इस हरकत पर क्या कहेगे MODI जी,*
 *इस video को इतना वायरल करो की ये पूरा हिन्दुस्तान देख सके..*",hate
"सासु माँ दामाद से 
भैस का लेरूवा मर गया है अच्छा हुआ आ गए 
आप काले हो सामने खड़े रहोगे तो भैस अपना लेरूवा समझ के आराम से दूध दे देगी😂😂
",defamation
अन्ना हजारे कहां मर गया तू हरियाणा पंजाब का प्रसाद मर रहा है सड़क पर तू आराम से सो रहा है कमीनी रामदेव तुम्हारा साथ ही कहां है चोर वह दिखाई नहीं देता 15 लाख रुपए बांटने वालों कहां रुक कर बैठ गए जनता पूछ रही है आप लोगों को इतनी जूतियां फिर भी आप पर जिंदगी में दोबारा कभीधरनेपर नही https://t.co/BFVKPHLU1V,offensive
"अब यादों में प्रणब दा: पूर्व राष्ट्रपति प्रणब मुखर्जी पंचतत्व में विलीन, दिल्ली में राजकीय सम्मान के साथ अंतिम संस्कार किया गया #PranabMukherjee #Delhi https://t.co/xN79L04AKg",non-hostile
"RT @ReshmaHindusta1: सुनने में आ रहा है , कि कोई अंतिम सांस ले रहा है,""
अब भी वक्त है , अपने गुनाहों की माफी मांगने का,""",offensive
ब्रेकिंग न्यूज - वीड से खत्म होता है कोरोनोवायरस।,fake
"प्रिय पाठकों, 
पढ़ें,
तीन साल* के लिए वकालत से प्रतिबंधित कर दिए जायेंगे.",non-hostile
आरएसएस सदस्यों ने भारतीय मुसलमानों पर हमला किया,fake
इमाम हुसैन अलैहिस्सलाम कर्बला में शहीद हुए उसकी वजह उम्मत की खामोशी थी आज फिर उम्मत खामोश है और मुसलमानों पर पूरी दुनिया में ज़ुल्म हो रहा है।,offensive
"जोधपुर में अगस्त 9, 2020 को एक पाकिस्तानी विस्थापित हिन्दू परिवार के 11 लोगों की लाश खेत से मिलने के बाद सनसनी मच गई थी। विस्थापितों की मौत के मामले में अब बड़ा खुलासा हुआ है, जिसमें तीन बहादुर बहनों के संघर्ष की कहानी छिपी है। जहरीले रसायन के सेवन के बाद उनकी मौत हुई थी।",hate
शेर को कितना भी पिंजरे में रख ले शेर शेर होगा कुत्ता को कितना भी सुरक्षा के साथ ताजमहल में रख ले कुत्ता कुत्ता होगा समझ में आया तो  अंधभक्त https://t.co/aRsHhYKDQO,offensive
"अल जज़ीरा मीडिया नेटवर्क, भारत विरोधी और हिंदू विरोधी भावनाओं के प्रचार के रूप में नेटवर्क को बदनाम करने के प्रयासों की कड़े शब्दों में निंदा करता है।

",fake
"मोर दिखाकर जीडीपी का शोर दबाना।
सदियों तक इसे याद रखेगा सारा जमाना।।",defamation
"मोती नेहरू से राहुल गांधी तक यह परिवार एक ""मिस्ट्री""है।
पप्पू का असली नाम ""राहुल गांधी""है,""राउल विंची""है या ""राहुल खान""है।
ये अपनेको दत्तात्रेय गोत्र जनेवुधारी हिंदू बताता है जबकि माँ ईसाई है और बाप फिरोज खान मुस्लिम है।
ये ब्रटिश नागरिक है या भारतीय है।
शादीशुदा है या कुँवारा।",defamation
झारखंड में कॉरपोरेट घरानों के साथ मिलकर BJP ने सरकारी स्वास्थ्य व्यवस्था को किया बर्बादः कांग्रेस,hate
"मैंने कांग्रेस को वोट दिया है
जिस बात का डर था वही रिकॉर्डिंग आ गयी मार्किट में और मजाक से भी कांग्रेस को वोट देने की बात मत करना वरना क्या होगा देख लो वीडियो |


",fake
"यही है वो #मोहतरमा हैं जो #कन्हैया के नामांकन में चुनाव प्रचार कर रही हैं,#गुरमेहरकौर। यही लोग मिलकर #बेगूसराय का विकास करेंगे।छी छी शर्म भी नहीं आती है |

",fake
"विडंबना देखिए-- 
9वीं फेल तेजस्वी यादव भी जेईई नीट 2020 के खिलाफ विरोध कर रहा है।
😂😀😂",hate
"प्रो अख्तर ने कहा कि उस कॉम्प्लेक्स को तीन मूल्यों के आधार पर आर्किटेक्ट किया जाएगा.
#Ayodhya #RE
https://t.co/zD4KlviBHH",non-hostile
"आलू से सोना बनाया, पानी से करंट निकाला स्कूटर को बस बनाया....
थोड़ा और सब्र रखिए ये 2024 तक गधे से डीजल न मूतवा दे तो कहना।🤣🤣",defamation
"@roohdar_ @Its__Jogi @realpreityzinta साले चिढ़े हुए हैं ,,कोई दूसरा गड्ढा ना भर दें।😂😂",offensive
"जानना जरूरी है: इतिहास के पन्नों में सिमटती जा रही हैं भोजपुरी के शेक्सपियर माने जाने वाले की विरासत

आशुतोष नाथ की रिपोर्ट

#BhikhariThakur 

https://t.co/zPXJfsM70A",non-hostile
अगस्त के महीने से स्कूल व कॉलेज खुलने जा रहे हैं।,fake
एजुकेशन की फर्जी डिग्री रखने वाले लोग जब एजुकेशन सिस्टम को बदलने लगें तो समझ जाइए देश सुरक्षित हाथों में है।,fake
"मोदी जैसे PM 
अमित शाह जैसे HM
और
योगी जी जैसे CM

Ufff...ग़ुलामों आप लोगों से हमें सच में सहानुभूति है..😂😂😂",defamation
@SushantBSinha पहले मुझे लोगो की बातो पर यकीन नहीं होता था कि ये साला ब्लैक में टिकट बेचता होगा लेकिन आज इसकी हरकत और गुंडागर्दी देखकर तो लगता है कि ये केवल टिकट ही नहीं बहुत कुछ ब्लैक करता होगा।,defamation
"@ShilpiSinghINC चल कमीनी tare मुह से 56 तो निकल गया 
😛😜😝",offensive
"शर्म करो पुलिस भईया कितना नीचे गिरोगे ठग पूनम तो निहायती कमीनी है थाना कचहरी  ब्लाउज़ में ठूंसे बैठी है और आप सब निर्दोषों को जेल में ठूंस कर अपनी तमीज का प्रदर्शन कर रहें!डालो मुझे भी जेल में देदो सारे अपराधियों को clean chit बना दो हम मासूमों को गुनहगार पहना दो हथकड़ी
@dgpup https://t.co/F5dRFgSLcs",offensive
"जब योगी जी 1998 में पहली बार सांसद बने थे लोग तब से उन्हें हरा रहे हैं पर योगी जी तब से लगातार 5 बार सांसद भी बने और 2017 से मुख्यमंत्री भी हैं..!

इसबार भी लोग कह रहें योगी को मुख्यमंत्री तो क्या विधायक भी बनने नहीं देंगे पर ""दिल को बहलाने के लिए ये ख्वाब भी अच्छा है गालिब ""😂😂",defamation
योगी आदित्यनाथ जी के अथक परिश्रम का ही प्रतिफल है कि उत्तर प्रदेश सभी विडम्बनाएं पीछे छोड़ सर्वांगीण विकास के रास्ते चल पड़ा है। जय हो @myogiadityanath जी।,hate
"महाराज जी, 10 हज़ार कार्यकर्ता यदि आपके समर्थक हैं, तो गुना.....!!
यदि चंद बचे समर्थकों को भी फोन लगाना पड़ रहा है तो और भी धिक्कार है !",defamation
"‘मैं नाखुश था और मैं क्लब छोड़ना चाहता था. मुझे यह नहीं करने दिया गया और मैं अब क्लब में रुक रहा हूं जिससे कोई कानूनी विवाद ना खड़ा हो. बर्टमेयु (जोसेप मारिया बर्टमेयु) की अध्यक्षता वाला क्लब का मैनेजमेंट बकवास है.'  #Messi #Barcelona

https://t.co/uGdC6mCXaA",non-hostile
"दिल्ली सरकार में फ़ार्मासिस्ट के तौर पर तैनात हमारे कोरोना वॉरिअर श्री राजेश भारद्वाज जी का हाल ही में कोरोना संक्रमण की वजह से निधन हो गया था। 

आज उनके परिवार से मिलकर ₹1 करोड़ की सहायता राशि दी। उम्मीद करता हूँ कि इस राशि से परिवार को थोड़ी मदद जरूर मिलेगी। https://t.co/aB3JsrRKxn",non-hostile
"ये कमीनी उससे ज्यादा घटिया है जितना मैंने सोचा था
#ArrestSSRKillersNow https://t.co/c77qTe6RXS",offensive
"अंत्योदय की भावना के अनुरूप आखिरी पायदान पर खड़ा व्यक्ति @UPGovt की प्राथमिकता है।

हमारा यह भी प्रयास है कि भारतीय संस्कृति और परंपरा को सुदृढ़ व संरक्षित किया जाए।

आइए, आज के पुनीत अवसर पर उत्तर प्रदेश को एक विकसित एवं खुशहाल राज्य बनाने के लिए संकल्प लें।

जय हिंद! https://t.co/j6u48GgJLg",non-hostile
@Pilot_Arvind @Gauraw2297 @itsmeFSL वो सब छोड़ो... https://t.co/XurxGtGKSi,non-hostile
साल 2014 से विकास फरार चल रहा है। जनता की विकास को ढूँढने की तमाम कोशिशें बेकार गई। विकास को पकड़ पाना मुश्किल ही नहीं नामुमकिन है।,defamation
"चीन में उइगर मुसलमानों पर कितना अत्याचार हो रहा है, दुनियाँ और भारत के किसी भी मुसलमानों से नहीं छिपा हुआ है । लेकिन मैंने आजतक हिंदुस्तान के किसी भी मुस्लिम  भाइयों को चीनी दूतावास के सामने उइगर मुसलमानों पर हो रहे अत्याचार के खिलाफ  प्रदर्शन करते हुए नहीं देखा ।",hate
"मराठी दैनिक लोकमत के अंग्रेजी एडिशन ने हाल ही में एक लेख प्रकाशित किया है, जिसमें दावा किया गया है कि एक चीनी ख़ुफ़िया अधिकारी ने बायोवेपन (जैविक हथियार) के कारण कोरोनावायरस का प्रकोप होने का विवरण लीक किया है।",fake
यू़जीसी ने फर्स्ट और सेकंड ईयर के छात्रों की परीक्षा आयोजित कराने के आदेश जारी कर दिए हैं।,fake
"#SSRDeathCase में ऐसे ऐसे एंगल सामने आ रहे हैं कि मामला सुलझने की बजाय उलझता जा रहा है- 

https://t.co/Rcu0rPcF2U",non-hostile
"जिस सोशल प्लेटफार्म के जरिये बीजेपी सत्ता में आयी और झूठ की बातों को प्रचार किया उसी प्लेटफार्म पर आजकल साहब को dislike मिल रहे है वो भी बल्क में।

समय फिरता है मालिक।",hate
"शाहीन बाग में इस्लामिक जेहादी बुर्का पहनकर खुद महिलाओं को आगे कर दिये हैं
एक रात का ₹600 रेट फिक्स कठमुल्लों ने लगाया है यह वही गद्दार है जो मुगलों से डरकर अपनी बहन बेटियों का घाघरा खोलकर मुगलों के आगे सौंप दिये थे
मुगलों के बलात्कार से पैदा हुए औलादे
#देश_से_गद्दारी_कर_रहे_हैं",offensive
"उमर खालिद का भाई है अनुराग कश्यप

उमर खालिद के जेल जाने पर दोगला अनुराग कश्यप बहुत बिलबिला रहा था.. अब उसी कमीने पर एक अभिनेत्री ने बलात्कार का आरोप लगाया है,, अब ये भी अपने भाई खालिद के पास जेल जाएगा..

ये वामपंथी गुंडे, दंगाई, बलात्कारी, आतंकी, देशद्रोही सब भाई भाई ही हैं",offensive
"RT @Rofl_RavishNDTV: दिल्ली Riots जान, माल, मजार, मस्ज़िद, हर प्रकार से नुकसान भी मुसलमानों का हुआ....!!

और जेल भी सब मुसलमानों को ही चुन…",hate
"@Bebaak_Ladka @babu_saffron अर्पित का छोटा है।
वाया - पड़ोस वाली कुतिया",defamation
"तेजस्वी यादव ने बेरोजगारी को लेकर नीतीश कुमार पर बोला हमला, कहा- युवाओं को भ्रमित कर ठगना चाहते हैं

@kumarprakash4u की रिपोर्ट

https://t.co/qcu4P4KYOX",non-hostile
"@KanganaTeam क्या शर्म की बात है तू तो सबसे बड़ी बेशर्म है कुतिया

दलाली शुरू की है तूने टिकट के लिए।।।।।।।

देखते है कि तू कब तक दलाली करती है।।।

घिनोना है तेरा कैरेक्टर",offensive
RT @Dr_Uditraj: कंगना रनौत नशेड़ी है ख़ुद माना।गिरफ़्तार तो कंगना को होना चाहिए हुई रिया। क्या नशेड़ी के लिए गोदी मीडिया है? क्या नशेड़ी से…,defamation
"*#जयपुर का #राज-मन्दिर #सिनेमाहॉल बिका...#*

*#प्राइड ऑफ राजस्थान का मिला था खिताब...#*

*#एशिया के सबसे बड़े राजमंदिर में अब कभी नहीं देख पाएंगे फिल्में #*

*#राजस्थान की राजधानी जयपुर में स्थित इस हाल में सिनेमा देखने वाले भी इसकी खूबियों के हो जाते थे मुरीद...#*

विश्वभर में एक से बढ़कर एक सिनेमा हॉल तो हैं। लेकिन,

राजस्थान की राजधानी जयपुर में स्थित राजमंदिर सिनेमा हॉल एक ऐसा है, जो एशिया में भी अपनी छाप छोड़े हुए था...लेकिन, अब उस ऐतिहासिक सिनेमा हॉल में आप सभी देशी-विदेशी सिनेमा प्रेमी सिनेमा यानी फिल्में नहीं देख पाएंगे। जी हां, जयपुर के विश्व प्रसिद्ध सिनेमा हॉल राजमंदिर का सौदा हो चुका है।

सूत्रों के अनुसार,शुक्रवार को हुए इस सौदे को मिराज ग्रुप ने 1 अरब 30 करोड़ रुपये में खरीदा है। वर्तमान में इसके मालिक भूरामल-राजमल सुराणा ज्वेलर्स के ऑनर थे।",fake
"@AUThackeray # जोकर के पिल्ले अपने आप को CBI के हवाले कर ले। साले तू मर्डर में समिल बहुत जल्दी तुझे फांसी होगी।

कब तक ये जोकर उद्धव बचाएगा तुझे बहुत जल्दी तेरा हिसाब उपर वाला करेगा।

थू है उद्धव जोकर पे कैसे चुटिया को बालासाहब जी ने पैदा किया। गधा, गुंडा, चुटिया, जोकर है ।",hate
"कुछ को छोड़कर,
 पूरी मनोरंजन इंडस्ट्रीज नशेड़ी निकल रही है  
एक से पूछो 10 नाम और बताता है

साला.... पूरे कुएं में भांग पड़ी है 👍👈😂😂🤣🤣😂😜😜😜",defamation
"गुलामी का दूसरा नाम निजीकरण है, कड़ा विरोध कीजिए नहीं तो आने वाली नई पीढ़ियाँ, चंद उधोगपतियों की गुलामी करेंगी बनेगी। क्या आप ऐसा होने देंगे? तय आपको करना हैं।",offensive
"पुरा वालीवुड माफिया मे जिस तरह की मानसिक और वैचारिक विष भरा हुआ है उस जहरीले फन को कुचलने की जरूरत है 
वालीवुड ड्रग बेचने और खरीदने के धंधे पर चलता है
और हमारे देश की संस्कृति ,आस्था, विश्वास और गौरवपूर्ण भारत की सेना का मज़ाक बनाने वाले को कचल देना चाहिए",hate
"दिल दहला देने वाली घटना। #दिल्ली के जफराबाद का वीडियो है, दिल्ली पुलिस मुसलमानों के घरों में केमिकल गैस छोड़ रही है जिससे छोटे छोटे मासूम बच्चों की हालत बेहद खराब है शर्म करो कम से कम इन बच्चों का तो ख्याल करो।",fake
फज ने सुशांत की मौत के बाद खाना-पीना बंद कर दिया था।,fake
सुप्रीम कोर्ट में आप अर्जी लगाओ वहीं से कुछ हो सकता है वर्ना लोवर कोर्ट में ऐसे ही समय और पैसे की बर्बादी है वहा बहुत से वकील है जो फ्री में केस लड़ते हैं उनसे मिलना पड़ेगा मिडिया में भी अपनी बात जंतर-मंतर पर खड़े होकर कहनी होगी हम सदैव साथ देगे,defamation
"सोने की वायदा कीमतों में तेजी, चांदी भी उछली, जानिए क्या हैं भाव

#GoldPrice #CommodityNews

https://t.co/y9YTGOVAzI",non-hostile
"एक ही परिवार में से दो भाई और एक बहन आईपीएस अफ़सर। उनके माता-पिता के लिए गर्व का अवसर। चलें उन्हें बधाई दें।

",fake
"सारे मन्दिर थे ,मन्दिर है ,मन्दिर रहेंगे।कहीं  भी कोई गड़बड़ छोड़ी नहीं जायेगी ,वापस दुरुस्त मन्दिर बनायेगे।",offensive
"विकास गायब नहीं है तेजी से भागने का प्रयास किया 
विकास का एनकाउन्टर  हो गया है#विकास_गायब_है",offensive
"फिलीस्तीन और कश्मीर दोनो की कहानी एक जैसी है, फिलीस्तीनियों को भी उनके घर में सुकून से नहीं रहने दिया जा रहा और कश्मीरियों को भी कभी सर्च ऑपरेशन तो कभी अलगाओवादी का ठप्पा लगा के ख़ू'न बहाया जाता है..!!",defamation
"Youtube पर डिसलाइक गिन कर पार्टी की हार के ख्वाब देखना वैसा हीं है, 

जैसे स्कूल में कोई लड़की पेंसिल माँग ले तो सीधा शादी के सपने देखना। 😆😂😂🙈",defamation
"रामायण देखकर यह अदभुत ज्ञान मिला।🙏 रावण के दरबार में सब चमचे थे
और 
प्रभु श्रीराम जी के सेना में सब भक्त थे!! 🙏🚩",defamation
"मोतिहारी रेलवे स्टेशन पर कल 500 किलो (कुत्ते का मास पकडा गया) जो जयसवाल, बच्चन, और मोतिहारी की होटल मे सप्ल्य किया जा रहा था।

",fake
"ये है ""बेटी बचाओ,बेटी पढ़ाओ"" भाजपा के जोरदार नारे।किनसे बचाओ?बेटियों के साथ यूपी हो या बिहार सभी जगहों पर भेड़-बकरी की तरह दुर्व्यवहार हो रहा। मोदी तेरे राज में बेटियां लुट गईं भरी बाजार में। जिस देश में बेटियों की ऐसी दुर्दशा हो तो हर मांओं को क्या करना चाहिए?",defamation
"90 लाख_डिसलाइक में देखकर पागल हो गया महेश_भट्ट ,, इसकी यह हालत देखकर किस-किस को खुशी हुई, क्या आपका भी योगदान है इसमे,, हां।।ना??",fake
"सऊदी अरब की वेबसाइटों में लेख के जरिये आसमानी किताब में 2500 त्रुटियाँ बता कर इसे आधुनिक युग के अनुकूल बनाने की सिफारिश की जा रही है

तौबा तौबा

अल्लाह की किताब पर ऐसी सिफारिश भारत में होती तो पूरा भारत बैंगलोर बन जाता",defamation
"बीजेपी एकमात्र अकेली ऐसी पार्टी है जो न सिर्फ भारत बल्कि,
पाकिस्तान अफगानिस्तान और बांग्लादेश के हिंदुओं के लिए भी लड़ रही है,",hate
पूरा का पूरा...180 डिग्री वाला यू टर्न है ये तो! @yogrishiramdev कहा #कोरोना के इलाज की दवा बना ली है; नाम तक प्रचारित किया #कोरोनील! 3 से 7दिन में ठीक करने का दावा तक किया।जब सब पूछने लगे तो अब @Ach_Balkrishna कहते हैंकि इलाज की बात कभी नहीं की! #कोरोनील तो इम्यूनिटी बूस्टर है!,defamation
"दिल्ली-पश्चिम बंगाल से कलेक्शन में भारी गिरावट
#GST #economy #RE
https://t.co/55tQ7cQb2o",non-hostile
"फ्यूचर रीटेल, भारती एयरटेल और BEML के शेयर में आज कमाई के मौके!
https://t.co/7qzFDKawWm
#ShareMarket #Investment",non-hostile
"@TheLallantop @AmitMishra1207 कमीनी सरकार है ये
#NationalUnemploymentDay
#राष्ट्रीय_बेरोजगार_दिवस
#राष्ट्रीय_बेरोजगारी_दिवस
#बेरोजगार_दिवस_17_सितम्बर
#NationalUnemploymentDay
#जुमला_दिवस",hate
Vk Singh की तरह यह भी सेना में संघ का ही आदमी है जो लगातार सेना का संघिकरण कर रहा है ऐसे लालची मतलबी लोग हमारी सेना को लगातार कमजोर कर रहे हैं सिर्फ बयान देते हैं और गोदी मिडिया से झूठी वाहवाही कराते और देश को भ्रमित करते है,offensive
@SanjayAzadSln तेरी करतूत तो ऐसी थी कि तुझमें संसद में ही जूते मारने थे गुंडे साले,offensive
"रफ्तार पर ब्रेक:अगस्त में डीजल की मांग 12% घटी, लॉकडाउन में वाहनों की आवाजाही पर लगे प्रतिबंधों के कारण लगातार दूसरे महीने डीजल की मांग में गिरावट
https://t.co/a3xMIid5Dj

#Lockdown #Diesel @FinMinIndia",non-hostile
"न चोर हूं , न चौकीदार हूं
साहब मैं तो बेरोजगार हूं

#speakupforSSCRaliwaystudents",defamation
"RT @nishasinghji: साहेब को
विपक्ष मुक्त भारत, पत्नी मुक्त जीवन
बच्चे मुक्त आँगन, प्रश्न मुक्त संसद, 
सवाल मुक्त मिडिया, ऑडिट मुक्त फंड और…",defamation
"कुली फिल्म की शूटिंग के दौरान अमिताभ बच्चन के लिए पूरे देश में दुआओं का दौर चला था ,

मगर एक शेरनी कंगना के लिए इसके मुंह से एक शब्द नहीं निकला कैसा नालायक है ये?🤔",defamation
"मोदी जी युवाओं की बात करिए रोजगार की बात करिए, खिलौनों की बात करने से युवाओं को रोजगार नहीं मिलते, पहले आप चिल्लाते रहते थे विकास करूंगा विकास करूंगा कहां गायब आपका विकास??",hate
"रोजगार माँग ले जो,हम गद्दार लिख दिये जाते है
मोदी तेरे राज में हम, खुद बर्बाद लिख दिये जाते है

तु बेऔलाद है तुझे कहाँ मालूम बेरोजगारी का गम
युवा तो है पर घर पे अब मक्कार लिख दिये जाते है
#SSCdeclareCGLresult
 #SpeakUpForSSCRailwayStudents",offensive
"हैरान कर देने वाला घोटाला: 65 साल की महिला ने 14 महीने में दिया आठ बच्चियों को जन्म! ऐसे 95% मामले बीजेपी शासित राज्यों से आते हैं मोदी की पेट फट जाने तक खाउगा छिपाउगा और खाने भ्रष्टाचारीयो को अपनाउगा वाली नीति के तहत यह बिहार का है
http://dhunt.in/aHuda?s=a&uu=0x9146ef2679173011&ss=pd
http://dhunt.in/DWND",defamation
गोरखपुर में नवनिर्मित 500 शैय्या युक्त बाल चिकित्सा संस्थान में 300 शैय्या कोविड-19 चिकित्सालय का शुभारंभ करते मुख्यमंत्री श्री @myogiadityanath जी। https://t.co/QS5c4Jj4ie,non-hostile
"ए प्रूफ़ ऑफ़ गैलवन""। गलवान में जो झड़प हुई थी उसमें जो चीनी सैनिक मारे गए थे, जिसके लिए देश में भी बहुत सारे लोग खड़े हो गए थे कि सबूत कहां है उसका? उसका सबूत ये सामने टेलीविज़न स्क्रीन पर है। भारत से झड़प में चीन के 40 से ज़्यादा जवान मारे गए थे और उनकी कब्रों पर आप देख सकते है उनको श्रद्धांजली दी जा रही है

",fake
"दरोगा के भेष में शहर का नामी चोर निकला
तख्तनशीं ही सबसे ज़्यादा कमज़ोर निकला
- हिमांशु श्रीवास्तव ",defamation
कोरोनावायरस चीन की लेबोरेटरी में तैयार किया गया,fake
"नसीरुद्दीन शाह की तबीयत खराब, जानिए सोशल मीडिया पर वायरल हो रही इस खबर की सच्चाई",fake
"किसी ने पूछा - अगर पाकिस्तान नही होता तो क्या हम देशभक्त होते?

मासूम जवाब - अगर हम देशभक्त होते तो आज ये पाकिस्तान नही होता।😔😐",hate
